XX,YY,R
-83472.8415,3341337.13,1
-97093.6999,3403130.25,1
-97106.791,3391710.116,1
-87322.6421,3399766.091,1
-67758.6032,3417226.956,1
-68400.3171,3429995.555,1
-68387.2189,3447470.993,1
-67073.9994,3462260.127,1
-69018.1149,3475707.619,1
-83992.5142,3477728.921,1
-85309.5478,3460921.132,1
-98969.2369,3476389.106,1
-83981.7608,3490505.103,1
-25394.1015,3460907.76,1
-38425.6121,3446119.515,1
-23452.7534,3412512.473,1
-10419.8475,3415871.24,1
-9115.1244,3430656.471,1
4567.0744,3414527.013,1
-10421.4669,3402432.231,1
-21500.5647,3401761.333,1
-22808.1585,3386309.46,1
-129045.6965,3387701.628,1
-130331.379,3399121.055,1
-144691.7127,3384356.667,1
-159028.3797,3384370.007,1
-171406.6513,3385725.526,1
-172736.6983,3372969.552,1
-189033.4704,3370974.568,1
-170723.6814,3401170.709,1
-187007.4259,3402530.388,1
-200693.4547,3399859.275,1
-130451.9588,3325265.748,1
-114800.8051,3323908.661,1
-101755.7294,3323897.693,1
-114171.2114,3309144.905,1
-125913.7388,3309156.418,1
-143558.5257,3293075.571,1
-157255.4546,3295105.534,1
-171608.0752,3295125.73,1
-174253.59,3280375.767,1
-158594.5741,3279681.815,1
-189914.912,3279730.816,1
-188655.3334,3262967.997,1
-204974.3312,3261657.747,1
-203705.1693,3249591.321,1
-203747.9297,3235519.497,1
-190045.4366,3232811.798,1
-220020.0235,3250295.314,1
-219415.5941,3235553.266,1
-235086.7388,3234249.78,1
-235134.6594,3220853.62,1
-222076.4935,3220822.005,1
-205803.8173,3204710.431,1
-189718.3113,3126363.704,1
-175983.1233,3126330.713,1
-176021.8206,3113622.344,1
-188460.4591,3110977.955,1
-192435.5775,3096278.564,1
-191831.6919,3081571.085,1
-205576.7507,3081610.272,1
-206283.8612,3067579.67,1
-207427.0322,3112366.163,1
-236925.8943,3096946.541,1
-236987.0845,3082511.859,1
-251121.3275,3082561.311,1
-250792.6221,3068531.079,1
-250868.6718,3052101.911,1
-237517.5345,3050850.432,1
-237183.4896,3037628.271,1
-252122.9254,3036082.927,1
-222325.0848,3019950.786,1
-207775.8247,3020701.737,1
-195981.1417,3020663.669,1
-191996.6401,3035073.517,1
-194302.3468,3049506.428,1
-179368.2114,3049864.797,1
-176969.5858,3062284.938,1
-161247.4865,3064250.132,1
-146708.6653,3064617.964,1
-160415.9684,3079887.439,1
-131845.2695,3036925.559,1
-162914.137,3032989.43,1
-176665.2141,3035430.142,1
-161815.6778,3006946.711,1
-161874.2052,2988526.555,1
-176426.5537,2990169.408,1
-148445.7092,3005711.215,1
-135069.2265,3006481.263,1
-163753.4966,2975321.374,1
-266421.6331,3006112.273,1
-281097.7903,3006178.171,1
-281975.5745,3037675.569,1
-282421.5984,3052363,1
-266640.0121,3066721.359,1
-281739.3622,3083079.099,1
-296739.5147,3067380.8,1
-264791.2236,3125785.681,1
-265694.7228,3100121.364,1
-266024.8063,3142105.394,1
-281442.597,3143496.525,1
-297126.1993,3143554.17,1
-252359.3931,3158649.342,1
-234845.5032,3158596.947,1
-220212.5653,3156682.5,1
-218954.3455,3143298.039,1
-293419.4773,3325265.23,1
-292680.0377,3314402.754,1
-279732.2073,3325637.061,1
-278223.6329,3310749.14,1
-279075.3295,3292652.286,1
-277163.0669,3281388.341,1
-291245.2624,3282228.312,1
-294446.2922,3265353.124,1
-310882.8911,3264998.038,1
-310158.6062,3252136.738,1
-293730.9973,3249677.137,1
-321590.3918,3234898.027,1
-354868.1407,3233005.679,1
-370911.8068,3233065.716,1
-385760.8364,3236335.035,1
-387242.1232,3250793.668,1
-382463.16,3266035.374,1
-368692.8052,3281653.716,1
-353831.4584,3282007.269,1
-338899.7601,3296832.04,1
-384693.1153,3218268.79,1
-383972.6598,3207832.176,1
-383698.1181,3188573.313,1
-383380.972,3176538.797,1
-384664.5314,3159301.498,1
-384370.7379,3144066.011,1
-383673.3898,3130836.055,1
-370562.6786,3159235.898,1
-354103.6293,3159964.609,1
-340791.0273,3158303.301,1
-356664.734,3191266.809,1
-356647.2489,3127899.13,1
-356728.8808,3114673.02,1
-354863.3999,3099437.034,1
-356936.92,3081821.493,1
-357017.4924,3069407.075,1
-340932.9135,3068523.392,1
-340841.1137,3083342.995,1
-341535.2474,3098170.309,1
-338701.0644,3112985.045,1
-415894.0698,3174287.415,1
-399450.49,3174207.446,1
-412089.9113,3217182.292,1
-412156.7665,3206752.314,1
-398854.4507,3206291.531,1
-410212.2859,3268146.616,1
-397854.9212,3310678.398,1
-384959.4098,3310636.927,1
-367148.4184,3343145.476,1
-367219.2623,3328403.243,1
-337127.1254,3358085.829,1
-322284.7199,3356710.915,1
-310561.3293,3356685.211,1
-292852.0513,3354501.876,1
-279292.2367,3357158.022,1
-307374.1186,3372507.53,1
-336544.195,3372836.829,1
-548507.2051,3223016.391,1
-562580.5908,3209646.971,1
-503776.9461,3162090.238,1
-535510.0184,3112697.184,1
-534939.2748,3104029.674,1
-521140.1565,3114593.193,1
-521262.4539,3101263.333,1
-503804.4018,3083142.455,1
-505879.5375,3070497.663,1
-510255.6203,3055807.539,1
-493489.3796,3068407.079,1
-237825.9266,2870340.724,1
-239487.9202,2854382.933,1
-239573.8306,2838423.306,1
-268664.543,2856130.494,1
-268760.7846,2840173.545,1
-330195.2615,2853316.202,1
-327912.1678,2842135.99,1
-329620.8247,2824608.906,1
-346640.6604,2867786.759,1
-357005.5285,2852707.775,1
-372704.9047,2959778.888,1
-372784.1879,2949392.809,1
-388387.0394,2965477.272,1
-415960.3027,2958483.391,1
-417231.1845,2994445.105,1
-416558.0834,2980855.281,1
-429921.3222,2980153.396,1
-431396.5075,2991349.721,1
-461475.0038,2966022.613,1
-460930.1227,3025930.48,1
-477290.5859,3038840.654,1
-477952.9106,3052435.683,1
-98909.1218,3571108.12,1
-97054.3396,3585838.528,1
-96970.8935,3554621.959,1
-124932.0403,3568756.072,1
-112897.238,3569090.94,1
-158735.5657,3584909.292,1
-112292.5567,3522333.538,1
-128925.371,3491403.635,1
1259401.854,3174715.314,1
